Cuproptosis	lncRNA	cor	pvalue	Regulation
LIAS	GEMIN7-AS1	0.500973845803732	6.01306668710782e-71	postive
LIAS	GAS5-AS1	0.473139920015054	1.91365408787204e-62	postive
GLS	AC007461.1	0.468252454671972	4.96118237809907e-61	postive
GLS	GRK5-IT1	0.466267907946253	1.83279274075765e-60	postive
ATP7A	AC004112.1	0.468676088039646	3.74931939241836e-61	postive
ATP7A	AC234775.2	0.455748249120698	1.62105183809466e-57	postive
GLS	AP001021.1	0.489832003018344	1.89313439948725e-67	postive
GCSH	AP001021.1	0.459644776854524	1.34996258341437e-58	postive
GLS	AL117335.1	0.466430214917929	1.64754783537803e-60	postive
LIAS	AC004148.1	0.485253663375575	4.75935293272805e-66	postive
GLS	AC090186.1	0.463600272164504	1.04742178793366e-59	postive
LIAS	AC011477.1	0.507194875154066	5.87396435301081e-73	postive
GLS	AC021066.1	0.501091530495866	5.51382962013272e-71	postive
GCSH	LINC01572	0.49965617683306	1.58330184065371e-70	postive
PDHB	NRAV	0.546595886435483	1.05040858208325e-86	postive
GLS	AC099845.1	0.450483334532375	4.42911312338412e-56	postive
GLS	AL390066.2	0.466138291043007	1.99549443385274e-60	postive
GCSH	AC012447.1	0.465156291275717	3.79644548666254e-60	postive
GLS	NCKAP5-AS2	0.45980627594854	1.21696581359185e-58	postive
GCSH	NCKAP5-AS2	0.465791816090109	2.50442569748516e-60	postive
FDX1	C8orf49	0.758010726723346	5.27782483314601e-206	postive
ATP7A	AC034139.1	0.482875910558053	2.49163603737053e-65	postive
GLS	AL035448.1	0.482785845938974	2.65219409568394e-65	postive
GCSH	AL035448.1	0.470206134175372	1.35900914509787e-61	postive
GCSH	AC004943.3	0.454984936516946	2.62801644116765e-57	postive
LIAS	MALINC1	0.456318316897535	1.12911978815393e-57	postive
GLS	STEAP3-AS1	0.49318120902789	1.73468989085206e-68	postive
DBT	AC018647.2	0.467392555452336	8.74888380759211e-61	postive
NLRP3	LINC01150	0.535477823754993	1.21919217133682e-82	postive
ATP7A	AC005670.3	0.537685036632774	1.95513763543409e-83	postive
LIAS	AC005670.3	0.472119721345193	3.79189224009438e-62	postive
MTF1	AC005670.3	0.4900879295731	1.5786024665229e-67	postive
DBT	AC005670.3	0.500491441488066	8.57520459544079e-71	postive
GLS	ITGB1-DT	0.498910825897762	2.73269996624596e-70	postive
GLS	Z98749.1	0.503235994416567	1.12964531563276e-71	postive
GLS	AP002762.2	0.457509245413583	5.29261506505405e-58	postive
GLS	ROCR	0.499308385970609	2.04285372277738e-70	postive
GLS	AL607028.1	0.525017420561197	5.94634233347964e-79	postive
GLS	AC104232.1	0.456559382270868	9.68803115074477e-58	postive
GLS	AC105398.1	0.630108664169398	9.14385345647067e-123	postive
CDKN2A	AL353135.2	0.471483499891597	5.80176254705999e-62	postive
LIAS	SNHG14	0.463210182171837	1.34976642375186e-59	postive
GCSH	AC103769.1	0.466970223523953	1.15530512646634e-60	postive
PDHB	AC116036.2	0.51323954111037	5.96396194357054e-75	postive
LIAS	LINC00663	0.564285345968372	1.70082994611347e-93	postive
DLAT	CENATAC-DT	0.467851631772918	6.46414909802624e-61	postive
LIAS	AC008771.1	0.491064152758001	7.88247862175077e-68	postive
GLS	LINC02189	0.57542845071455	5.46600666951249e-98	postive
GLS	AC011442.1	0.466713488909432	1.36777316757445e-60	postive
GLS	SOX9-AS1	0.492785445312069	2.30396155384644e-68	postive
GCSH	MIR17HG	0.471412767747037	6.08233613401951e-62	postive
GCSH	AL157392.4	0.457954294165415	3.98439601993602e-58	postive
ATP7A	USP46-DT	0.508800975120081	1.75056490790724e-73	postive
DBT	USP46-DT	0.519779572589264	3.74211841905617e-77	postive
FDX1	EMX2OS	0.588424411775972	1.88182453777894e-103	postive
LIAS	AC022400.4	0.484554083734988	7.75641812076026e-66	postive
GLS	AL392089.1	0.509463606523444	1.06034698117311e-73	postive
GCSH	LINC01473	0.463800780928106	9.19295090869424e-60	postive
GLS	SLC16A1-AS1	0.49308364086346	1.86047010097664e-68	postive
GCSH	SLC16A1-AS1	0.474287617059868	8.84201941670592e-63	postive
LIAS	BDNF-AS	0.51774142366167	1.83924189739512e-76	postive
CDKN2A	EMSLR	0.473400318329042	1.60656076623126e-62	postive
FDX1	AC004825.2	0.610467456296201	2.63241737840953e-113	postive
GLS	TCF7L1-IT1	0.500476255627764	8.67147558287323e-71	postive
GLS	AC005540.1	0.489763773847014	1.98704149190779e-67	postive
GLS	AP002449.1	0.507841383520894	3.61106890235465e-73	postive
GCSH	AP002449.1	0.463906686013021	8.58043710138535e-60	postive
LIPT2	AP002340.1	0.654534478806107	1.59328720194537e-135	postive
LIAS	AC012467.2	0.479633681793803	2.33194499687347e-64	postive
PDHB	AC012467.2	0.459092699498159	1.92361421938057e-58	postive
DBT	AC012467.2	0.456298979148982	1.14306929076243e-57	postive
GLS	AC104393.1	0.478848310696403	3.9940719653362e-64	postive
GCSH	AC009148.1	0.597166364253145	2.87074245200325e-107	postive
DLD	AC073073.2	0.502872818490776	1.47873412925097e-71	postive
LIAS	AC090589.3	0.454407100943118	3.78545877158511e-57	postive
NLRP3	MIR223HG	0.48273937011288	2.73903238023452e-65	postive
GCSH	AC109587.1	0.47291564054991	2.22453975597537e-62	postive
GLS	AC012456.2	0.594780089265133	3.24671023422538e-106	postive
GLS	SNHG26	0.478464229086771	5.19377512231848e-64	postive
GLS	AC022150.4	0.468427502281388	4.41922995989022e-61	postive
GLS	SOS1-IT1	0.507358162909965	5.19526285000334e-73	postive
GCSH	SOS1-IT1	0.490590708348807	1.10422655866911e-67	postive
LIAS	KIF9-AS1	0.519803999092228	3.67114341056062e-77	postive
GLS	KCNAB1-AS1	0.454897988298954	2.77648906662196e-57	postive
GLS	PITRM1-AS1	0.48635543604142	2.2003429709378e-66	postive
GCSH	PITRM1-AS1	0.476975308702586	1.4331876241676e-63	postive
LIAS	HEXD-IT1	0.465278740272151	3.50426233938573e-60	postive
LIAS	AC015871.3	0.478870143570758	3.93484330285846e-64	postive
NLRP3	AC090559.1	0.692607434167808	5.77641417632157e-158	postive
LIAS	TMEM9B-AS1	0.560094899329909	7.5234476069277e-92	postive
LIAS	AL683813.1	0.503994521715432	6.43027787980363e-72	postive
LIAS	AL132989.1	0.505677043539818	1.83323101529047e-72	postive
LIAS	AL021308.1	0.451907990359911	1.82005150936016e-56	postive
ATP7A	AC107027.3	0.452298077147128	1.42563654756512e-56	postive
DBT	AC107027.3	0.481043137239598	8.84682744136931e-65	postive
GLS	LNCSRLR	0.507988450514129	3.23226589524215e-73	postive
GCSH	AP002026.1	0.451540406091497	2.29041153539234e-56	postive
LIAS	EIF3J-DT	0.53441384642402	2.93189478976577e-82	postive
GLS	LRRC8C-DT	0.468588594330224	3.97271548983295e-61	postive
NLRP3	LINC02884	0.453954322708288	5.03610917914855e-57	postive
GLS	AC131011.1	0.572736414323462	6.90130269665685e-97	postive
GLS	MIR1915HG	0.463956245740542	8.30792136008316e-60	postive
LIAS	METTL14-DT	0.558895939295066	2.20285497586618e-91	postive
LIAS	LINC00909	0.479338163796089	2.85578164354174e-64	postive
FDX1	AL590434.1	0.698839459147794	5.63020355668359e-162	postive
FDX1	AP003071.4	0.550797014691578	2.7881973579764e-88	postive
LIAS	NSMCE1-DT	0.452571847490041	1.20082898120236e-56	postive
LIAS	SEC24B-AS1	0.500874802648659	6.46791962555672e-71	postive
LIAS	STX18-AS1	0.51948412189449	4.71685115850685e-77	postive
LIAS	CTBP1-DT	0.509719334206101	8.73557589527584e-74	postive
GLS	AC009970.1	0.477130526394233	1.28958436763505e-63	postive
LIAS	POC1B-AS1	0.47850744757298	5.0426062973797e-64	postive
CDKN2A	AC092916.1	0.454562619927686	3.43156536212473e-57	postive
FDX1	AC087521.1	0.806321592492905	1.15583724667702e-252	postive
FDX1	AC023300.2	0.646708892895667	2.61685272626678e-131	postive
LIAS	IQCH-AS1	0.473545928444426	1.45676520235579e-62	postive
DBT	AC120114.1	0.460794199034526	6.44484094742408e-59	postive
GLS	AC103923.1	0.612567483924079	2.75865984586882e-114	postive
LIAS	ZNF30-AS1	0.474592120861418	7.20067209461419e-63	postive
GLS	AP001021.3	0.540719373411789	1.54431005165846e-84	postive
LIAS	AC087500.1	0.504190825634176	5.55646586063784e-72	postive
CDKN2A	LINC02721	0.467055230683766	1.09246336787872e-60	postive
CDKN2A	LINC01956	0.4826768868564	2.86025516181055e-65	postive
GLS	AC107021.1	0.520093308236664	2.92585259022815e-77	postive
LIAS	AL354892.3	0.504573195704162	4.17951381024339e-72	postive
GLS	AC104472.1	0.468202989693007	5.12597323865302e-61	postive
DBT	FAM160A1-DT	0.467059954482619	1.08907279915667e-60	postive
GLS	AC007098.1	0.490761188197614	9.7807013082616e-68	postive
GCSH	AC007098.1	0.462314958053091	2.41254384893533e-59	postive
GCSH	AC107993.1	0.464487214282503	5.87723599208963e-60	postive
GLS	AC091185.1	0.475136397311281	4.98596463921123e-63	postive
GLS	AC114956.2	0.47533597553672	4.35657557042156e-63	postive
GCSH	AC114956.2	0.469070156699904	2.88838230274052e-61	postive
NLRP3	LINC01366	0.478570962863222	4.82835466860599e-64	postive
NLRP3	AC093675.1	0.464507216483933	5.80103183286197e-60	postive
PDHB	PRKAR2A-AS1	0.53684121672764	3.94241740937655e-83	postive
CDKN2A	AC012073.1	0.48406698038915	1.08908378073563e-65	postive
GLS	BACH1-IT1	0.467351444951366	8.98904414441045e-61	postive
LIAS	CCDC18-AS1	0.555901076418392	3.16328564510632e-90	postive
GLS	DLX6-AS1	0.571688116145848	1.84084193833172e-96	postive
GLS	CASC15	0.509221297068529	1.27386295602374e-73	postive
NLRP3	AC108134.3	0.452057829935184	1.65712263809648e-56	postive
