gene	lowMean	highMean	logFC	pValue	fdr
MIR205	5.4172157063197	2.07434880294659	-1.38489303359742	1.52238247256015e-25	2.18566061278808e-24
RNU6-1016P	13.7373366171004	5.44229290976059	-1.3358158116952	3.56493009344341e-28	7.25675472235582e-27
NRBF2P5	1.56505554522924	0.774203683241252	-1.01542878429162	1.70023575045227e-14	6.77853256288448e-14
FATE1	0.748185130111524	1.52001924493554	1.02262239143626	0.0086821779142237	0.0109951533221235
TMEM132C	2.59956031598513	0.807600460405157	-1.68655399131686	6.0779108194981e-26	9.26258441199626e-25
CYP24A1	5.62661945477076	2.47043563535912	-1.18750292453128	1.16508144933819e-14	4.7174349283054e-14
ALG13-AS1	3.88370802354399	1.84710534069982	-1.07216859750052	2.38512068842021e-30	6.87743316210745e-29
CLDN11	8.30143859975217	3.47143922651934	-1.25782745548543	1.07704681244829e-37	1.01748195834549e-35
AC008737.1	1.73217530978934	0.623648895027624	-1.47377900247797	1.36003518149778e-38	1.592824764961e-36
UBE2C	75.085294330855	150.498359208103	1.00314547366798	2.39985340520266e-47	2.73567289170402e-44
ZBTB40-IT1	1.56393798017348	0.730267403314917	-1.09868656192701	1.60498216177628e-30	4.76451215003691e-29
CAPN11	2.22394262701363	0.873150552486188	-1.34881723379456	2.72250147984716e-23	2.90950330024416e-22
ITGA7	11.3652998451053	5.46511325966851	-1.05631244666396	7.85431316636379e-33	3.39143688968824e-31
MAB21L4	12.3172357496902	32.0190552486188	1.3782522196192	0.016801079877103	0.0206424994480552
MYO3B	4.64552481412639	1.80660257826888	-1.36256241710622	3.78916771830239e-09	8.94924254250811e-09
ADH1B	20.1385181226766	7.80103103130755	-1.36822081068226	7.26076683352172e-19	4.55603126922524e-18
AC024145.1	2.23934343246592	1.09093489871087	-1.03751078948774	7.14895109280692e-29	1.6084199307356e-27
TBX10	0.618091078066914	5.27100662983425	3.09218716118208	0.0413707804552293	0.0487222932022843
SCARA5	4.47027682775713	1.62706261510129	-1.45809440289175	3.00442682282735e-26	4.74355440845105e-25
BMX	2.24395102230483	1.08455580110497	-1.04893690472115	2.34296659423725e-28	4.90960610231161e-27
COL6A6	1.47202552664188	0.734205801104972	-1.00354627101541	6.94293389414284e-19	4.36460392117457e-18
RNA5SP311	2.17962388475836	1.02199337016575	-1.09269336814439	1.76109163622146e-22	1.68510945090939e-21
MAB21L1	2.34492571251549	0.982713535911602	-1.25469938592159	1.07746359236396e-29	2.76629879366837e-28
TMEM200C	1.55050374845105	0.610265193370166	-1.34522880037729	9.62438653405757e-47	8.66144133399213e-44
HOXA6	1.36116043990087	0.670536464088398	-1.02144943343334	7.73199648083803e-30	2.01846424161602e-28
BACH2	2.81737069392813	1.36510036832413	-1.0453423694932	9.2261414472191e-38	8.82440331921559e-36
RNY1P14	2.70209123296159	0.557950092081031	-2.2758684006825	6.12785765256544e-12	1.90094771410044e-11
LINC02607	2.31695913878563	0.792114456721915	-1.54845178851773	3.11643497994111e-42	7.61256024600186e-40
TRMT9B	2.10697397769517	0.853759300184162	-1.30327120198697	3.91433882875541e-40	6.25525977877465e-38
AC136475.3	33.0597797707559	15.7152335174954	-1.07291340433691	2.44946257188247e-14	9.60407257890813e-14
TUBAP9	3.1487301425031	0.77007182320442	-2.03170520386866	2.97948650058457e-13	1.0429117640429e-12
SLC14A1	2.49522685873606	1.03437762430939	-1.27040801497167	8.11044072347489e-29	1.80338655306498e-27
AL591845.1	12.6767032527881	5.76648526703499	-1.1364154478328	9.62084608381801e-20	6.6709994804219e-19
HMGN1P1	3.98323423172243	1.83871270718232	-1.11524423802182	3.05447448755918e-29	7.2741586716956e-28
SNORA28	2.68492555762082	0.661347237569061	-2.02140223183215	0.000367903349275209	0.000535339917390588
GLI1	1.77486784386617	0.886466482504604	-1.00157361732453	3.20060760509191e-29	7.60099853325925e-28
SPRR3	2.62765492565056	5.29857127071823	1.01182757018095	0.00652715722946977	0.0083638984912098
TMEM179	0.714017874845105	1.68968812154696	1.24272488550613	0.0118001248422575	0.0147245373040766
AC083967.1	1.58993671003717	5.66654539594844	1.8335001276145	0.00619231339365609	0.00795270893181054
PSMD10P1	2.99137921313507	0.967827071823204	-1.62798961096179	1.07258161738023e-18	6.60427550435166e-18
MT1H	1.36202369888476	3.17761362799263	1.22219190923646	1.56089795623096e-06	2.85727375587123e-06
AC004947.1	1.56775780669145	0.560710128913444	-1.48337566691163	8.97632786314987e-25	1.14541962785074e-23
HAO2	3.69174355638166	1.46338802946593	-1.33498997821047	1.62462235538197e-08	3.61193832462311e-08
SHISA3	2.23296731722429	0.57402679558011	-1.95977214672818	6.15479422636274e-21	4.94551456499503e-20
AL136115.1	1.81632289343247	0.788135727440147	-1.20450469042496	1.54489494599937e-14	6.17777331189037e-14
FREM1	2.4624052354399	0.826930018416206	-1.57423105714915	5.97580988523023e-46	4.64456241943417e-43
MFAP4	134.83690960347	54.2277672191529	-1.31411179196032	6.44045284242084e-31	2.05457655135362e-29
LRRN4CL	5.12281043990087	2.43743922651934	-1.07156926040917	4.81723323327317e-23	4.97102420372589e-22
ANGPTL1	4.87378150557621	1.97232504604052	-1.30514424318379	1.12676406420666e-34	6.59812970338003e-33
AC027514.2	1.38275669144981	0.669666482504604	-1.04603265697397	1.81513043539206e-31	6.32116401522787e-30
RNU6-130P	1.64155387236679	0.673049631675875	-1.28627729658512	3.87288240420386e-09	9.14169191461648e-09
KIT	34.7240809789343	15.6626419889503	-1.14860892349149	5.83714492165389e-42	1.29622520799169e-39
MIR205HG	31.0632365551425	14.7843111418048	-1.07114113122074	6.82357415444717e-31	2.16870435812067e-29
RNU7-57P	2.3155574039653	0.855558839779005	-1.43642054027125	1.04880668774351e-10	2.87719325424776e-10
MIR186	15.4427743804213	6.75617900552486	-1.19265250600637	5.56889022435772e-45	3.28353289469975e-42
CAPNS2	1.77198618339529	0.846652670349908	-1.06552520812673	8.61768771223954e-05	0.000133122994120141
RHOXF1P3	3.55339749070632	10.4329405156538	1.5538748517881	6.81903797364884e-05	0.000106201594235742
KLHL29	2.23537530978934	1.00100524861878	-1.15906753521993	1.76431925844917e-43	6.15675408167803e-41
LINC02115	2.70399848203222	1.31470893186004	-1.04035091029748	4.8331396379436e-15	2.03201019594781e-14
NPW	3.9844886307311	8.38958241252302	1.07420442237692	2.60624979097305e-06	4.67326606290354e-06
EPO	0.961558116480793	3.44358075506446	1.84046354825854	0.000128159635040834	0.000194583697350668
KERA	3.26043695786865	1.20363591160221	-1.43766626821484	2.97767401585426e-20	2.19936276445322e-19
FCER1A	13.7358504337051	5.99390635359116	-1.19637778634026	2.82676615104403e-34	1.56931410443837e-32
LINCADL	3.45980842627014	1.45471169429098	-1.24995889901905	2.02084328574068e-14	7.98576365677834e-14
CIDEA	7.65789355638166	3.45135607734807	-1.14978428238099	1.3095691444464e-15	5.86800911972982e-15
AP000851.2	6.56011632589839	3.22323001841621	-1.02521425066668	1.94531098228141e-18	1.16711833284315e-17
MIR27B	3.10489203841388	1.02514640883978	-1.59871313819122	3.53316069486414e-25	4.82921780347577e-24
C1QTNF7	2.37111425030979	1.17781224677716	-1.00945559992305	1.23666147916387e-21	1.0755683943145e-20
RPL35AP5	2.08824981412639	0.925490055248619	-1.17400491665834	8.8330016888589e-17	4.4724754479656e-16
RN7SL81P	2.36199042750929	1.15221942909761	-1.03558762757846	6.63220453427389e-25	8.73683091922567e-24
MIR221	1.79769618959108	0.719875782688766	-1.3203293355761	6.18346024618916e-26	9.41504779604527e-25
LINC00926	3.60148720570012	1.5845182320442	-1.18454851912729	6.89693260328891e-25	9.02991198955874e-24
ROCR	3.42729439281289	1.38100948434622	-1.31134689211333	4.6477134541031e-32	1.77788036581004e-30
RNVU1-15	2.47897772614622	0.617113627992633	-2.00613724900908	0.0377015329517518	0.0446037855076457
ECRG4	16.8799109355638	2.69277836095764	-2.64813989838201	5.63501471972663e-38	5.73530456503605e-36
ITM2A	54.8751753097893	25.8628133517495	-1.08527442386765	1.23039110642455e-32	5.14387714639447e-31
KRT15	171.041211183395	62.3944737569061	-1.45485381309477	1.06195719742874e-23	1.18450137761474e-22
TRARG1	12.8311248760843	5.44628416206262	-1.23630349117563	7.65070418977847e-14	2.85195968914371e-13
WNK4	25.8955780978934	12.7568829650092	-1.02142990383454	3.63807979917834e-15	1.55247133731346e-14
AL032819.1	0.684319609665427	1.41722633517495	1.05032798472802	6.67394315361507e-10	1.69641376518008e-09
RNU5F-1	1.71662614622057	0.700734346224678	-1.29263636137205	1.0207497738831e-07	2.09453982762836e-07
SCGB3A2	2.62650458488228	0.968772928176796	-1.43891364750012	0.00835125789766774	0.010601986694797
SFRP1	189.307890737299	86.2919879373849	-1.13343602777111	5.06448503596049e-34	2.6893673798102e-32
AVPR2	2.22755433705081	1.10463581952118	-1.01188980914917	1.30302311860382e-20	1.00907573845139e-19
ALX4	2.78528643122677	1.20738397790055	-1.20594113630961	2.63182027297176e-36	1.98244470694027e-34
SIGLEC6	1.55874027261462	0.752375046040516	-1.05085665185999	6.27762158325316e-21	5.03475851088395e-20
AC011442.1	2.01796105947955	0.974829650092081	-1.04967629770935	2.60273161112129e-20	1.93412028763855e-19
EGR2	29.8819297707559	14.678897053407	-1.02552974949825	2.96384429517212e-22	2.76178602741951e-21
CYP19A1	2.03414866790582	0.226551197053407	-3.16651610503086	0.0093484528980732	0.011796118080153
C7	21.6443361214374	6.14076786372007	-1.81749857888481	4.58007627184807e-31	1.48323341235474e-29
AC018816.2	1.93769399008674	0.624732320441989	-1.63303067685334	7.24527680363847e-22	6.45580969595697e-21
KCNIP2	4.97265006195787	2.19700064456722	-1.17847961556414	5.28398539515815e-26	8.09595575912269e-25
RNVU1-1	2.04768327137546	1.01998195211786	-1.00544895655215	1.78637842975051e-20	1.35860405975087e-19
SYT8	7.67310926270136	3.82075865561694	-1.00595216816348	1.7067458627464e-13	6.13617483328442e-13
