Gene	Num
PIK3CA	324
TP53	307
TTN	165
CDH1	114
GATA3	100
MUC16	97
KMT2C	81
MAP3K1	80
HMCN1	56
RYR2	54
FLG	54
USH2A	50
SYNE1	49
PTEN	47
ZFHX4	47
SPTA1	45
DMD	43
NCOR1	43
MUC17	43
NEB	42
FAT3	39
SYNE2	38
DST	37
LRP2	37
RYR3	36
RUNX1	36
CSMD3	36
HUWE1	35
APOB	35
ARID1A	34
MDN1	34
PKHD1L1	34
MAP2K4	33
OBSCN	33
TBX3	33
ADGRV1	33
MACF1	32
PCLO	32
SPEN	32
NF1	32
CACNA1E	32
MYCBP2	31
DNAH11	31
KMT2D	31
ABCA13	30
PIK3R1	29
DNAH17	28
CSMD1	28
PRUNE2	28
RELN	28
AKAP9	28
XIRP2	28
FOXA1	28
FAT1	28
MXRA5	28
LRP1B	28
CSMD2	28
HERC2	28
MUC5B	28
LRP1	27
MYH9	27
MAP1A	27
AHNAK	27
BIRC6	27
FMN2	26
DNAH8	26
CUBN	26
PRKDC	26
AKT1	26
VPS13B	25
TEX15	25
AHCTF1	25
CHD4	25
SVEP1	25
VPS13C	25
MED12	25
FCGBP	25
RYR1	25
DNAH9	25
TAF1	25
CMYA5	24
DYNC2H1	24
ANK3	24
HERC1	24
ANK2	24
ATRX	24
COL12A1	24
PTPRD	24
KIAA1109	24
ASPM	24
LYST	23
CBFB	23
TENM1	23
F8	23
USP9X	23
TG	23
HYDIN	23
UNC13C	23
GON4L	23
DYNC1H1	23
UTRN	23
CEP350	22
SRCAP	22
ADGRG4	22
SCN10A	22
PREX2	22
NIPBL	22
DOCK11	22
TCHH	22
ANKRD12	22
NOTCH2	22
ERBB2	22
UBR4	22
UBR5	21
KMT2A	21
FLG2	21
CENPE	21
NRXN2	21
DNAH2	21
TLN1	21
ASXL3	21
DNAH7	21
ASH1L	21
BRCA1	21
SPHKAP	21
PAPPA2	21
PDZD2	21
RP1	21
BRCA2	21
DNAH10	21
SACS	21
CHD6	21
GRIN2A	21
BAZ2B	21
CHD7	21
F5	21
PCNT	20
ZDBF2	20
BRWD1	20
FAT4	20
SCN2A	20
ATP10B	20
NCOA6	20
PIWIL1	20
ATM	20
LAMA1	20
CACNA1A	20
DNAH5	20
NEXMIF	20
MEGF8	20
ARID1B	19
OTOGL	19
FREM2	19
PKHD1	19
LAMA2	19
DNAH3	19
MAP2	19
FBN1	19
HIVEP1	19
TPR	19
PKD1L1	19
PEG3	19
HECW1	19
FAT2	19
FLNA	19
DMXL2	19
USP34	19
MYH8	19
MYO10	19
CREBBP	19
FRAS1	19
ERBB3	19
MYO18B	19
MUC4	19
PCDH15	19
RB1	19
MROH2B	19
FREM1	19
AFF2	19
DCHS1	19
MYO16	18
THSD7B	18
ZNF536	18
VPS13D	18
KIF4A	18
ALMS1	18
PCDH19	18
ZNF292	18
SDK1	18
RAPGEF6	18
MRC1	18
TENM2	18
SEMA3D	18
MGA	18
HTT	18
ICE1	18
FLNB	18
SI	18
FRMPD4	18
FAM47C	18
SMG1	18
CPS1	18
SETD2	18
RANBP2	18
HRNR	18
CACNA1F	18
PLXNA2	18
GOLGB1	17
CAD	17
VPS13A	17
THSD7A	17
COL14A1	17
TNRC6B	17
QSER1	17
KIAA1210	17
CEP170	17
TAF1L	17
DMXL1	17
MYO7B	17
KCNT2	17
TEP1	17
LRBA	17
TRPM6	17
ARID4B	17
CNTNAP5	17
BSN	17
ANKRD17	17
YLPM1	17
ATAD2B	17
REV3L	17
COL6A6	17
AHNAK2	17
CTCF	17
LCT	17
ABCA8	17
RAD54B	17
TBC1D4	16
TLR4	16
PXDNL	16
H3C2	16
CENPF	16
TNXB	16
HCFC1	16
TASOR2	16
JMJD1C	16
PCDH11X	16
SPATA31D1	16
EPG5	16
NAV3	16
ABCA9	16
SPTBN2	16
ZAN	16
PHF3	16
RNF213	16
CFH	16
ARFGEF1	16
CASP8	16
LRRK2	16
ZP4	16
ZNF208	16
UNC5D	16
COL6A3	16
CDC42BPA	16
MYH14	16
SCN3A	16
DOCK4	16
MIA2	16
ZFHX3	16
CIT	16
DSP	16
DNAH1	16
RTL9	16
KMT2E	16
VCAN	16
SETX	16
UGGT2	16
WDFY3	16
GCC2	16
FLNC	16
ABCA12	16
MYH7	16
MKI67	16
MTOR	16
WNK3	16
PCNX2	16
RLF	16
MYLK	16
SPTB	16
KDM5B	15
PRDM10	15
AKAP6	15
TMEM132D	15
HECTD4	15
ASTN1	15
MYO7A	15
TACC2	15
ABCC9	15
ATP7A	15
CNTLN	15
MYH1	15
CRNKL1	15
KIF16B	15
SF3B1	15
ANKRD11	15
SHANK1	15
DNAJC13	15
PLCL2	15
CNOT1	15
PLCH1	15
RIMS2	15
DOCK10	15
MAGI1	15
SCN1A	15
MGAM	15
STAG2	15
ITPR1	15
COL7A1	15
ZNF462	15
MYT1L	15
LTBP1	15
MYH4	15
PHKA2	15
KAT6B	15
EML5	15
SVIL	15
UTP20	15
PLCB4	15
SPAG17	15
ROS1	15
SHROOM2	15
TSHZ3	15
BOD1L1	15
ARHGAP31	15
IREB2	15
NRK	15
KIAA0232	15
HELZ	15
HECTD1	15
FBN3	15
PLXNA4	15
ANK1	15
THADA	15
SCN11A	15
NCKAP5	15
NUP210L	15
EP300	15
CACNA1C	14
PTPRB	14
PRRC2C	14
PHF20L1	14
LRRIQ1	14
TRRAP	14
ATP2B1	14
HEATR1	14
KCNB2	14
IGSF1	14
LCOR	14
NIN	14
APC	14
CHD9	14
WDR17	14
CCNB3	14
ASXL2	14
AFDN	14
ZMYM3	14
IGSF10	14
MYOM2	14
ACACA	14
UNC79	14
IRS4	14
NLRC5	14
HDLBP	14
CEP162	14
NBEA	14
FAM47A	14
MED23	14
CSPP1	14
SAGE1	14
ROBO1	14
RIMS1	14
TENM3	14
COL4A5	14
HECW2	14
HDX	14
NFASC	14
FER1L6	14
CASR	14
IGF2R	14
SLIT2	14
ITPR2	14
COL22A1	14
ZEB2	14
MED13	14
NUP160	14
LRRC7	14
FN1	14
KDM6A	14
LRRK1	14
ITPR3	14
CECR2	14
CHD8	14
WDR44	14
MYH6	14
DOCK7	14
GRIA3	14
KIF13A	14
MORC1	14
SCN7A	14
HEG1	14
TNN	14
ADGRB3	14
BLM	14
MYO5B	14
FBXW7	14
BRWD3	14
SNRNP200	14
MARF1	14
USF3	14
ATP9A	14
CD163L1	14
ARID2	14
TNRC6A	13
WNK1	13
CDH8	13
DENND4B	13
NID1	13
ABCB11	13
SCN5A	13
ITIH6	13
ATR	13
MMRN1	13
SUCO	13
PCDH9	13
PLCE1	13
CFAP47	13
ANKRD26	13
MYH15	13
TDRD6	13
FAM135B	13
SZT2	13
HDAC6	13
PLEC	13
RBBP6	13
KALRN	13
DLC1	13
DCC	13
GRIK2	13
C2orf16	13
KIF5C	13
DLG1	13
CDH10	13
COL5A3	13
SCN9A	13
PPRC1	13
TRIO	13
SRGAP1	13
SELP	13
TLR7	13
AKAP13	13
HIVEP3	13
POGZ	13
ANKHD1-EIF4EBP3	13
ERICH3	13
CACNA1D	13
FCRL5	13
ESPL1	13
ARHGAP35	13
ADCY9	13
MAP3K4	13
COL11A1	13
CARMIL3	13
CDH9	13
FASN	13
CDH23	13
LAMC1	13
RALGAPB	13
SETDB1	13
TOGARAM1	13
MIA3	13
NAV1	13
PLXNA3	13
CFTR	13
TRPS1	13
KIAA1549L	13
MED12L	13
MYH10	13
ATXN2	13
ZC3H11A	13
SMARCA4	13
DOCK3	13
KIF26B	13
ST18	13
SCN8A	13
NOS1	13
MYO18A	13
POLQ	13
NBAS	13
ZFPM2	13
MTM1	13
